,ISR_st,ISR_young,ISR_working,ISR_elderly
0,0,35.975,95.033,99.995
1,0,35.91,94.803,100.00399999999999
2,0,35.488,94.725,99.996
3,0,35.282,94.547,99.999
4,0,34.962,94.40500000000002,99.99600000000001
5,0,34.383,93.91499999999999,99.99199999999999
6,0,33.838,93.80199999999999,100.0
7,0,33.353,93.67699999999999,100.00299999999999
8,0,33.491,93.622,99.992
9,0,33.278,93.494,100.003
10,0,33.115,93.337,99.99600000000001
11,0,33.008,93.16,99.996
12,0,32.75,92.80199999999999,100.002
13,0,32.722,92.668,99.99600000000001
14,0,32.743,92.467,100.006
15,0,32.842,92.22,100.005
16,0,33.005,92.007,100.006
17,0,33.186,91.84,99.997
18,0,33.285,91.66899999999998,100.00499999999998
19,0,33.285,91.495,99.99900000000001
20,0,33.236,91.381,99.994
21,0,33.222,91.39699999999999,99.99699999999999
22,0,33.293,91.519,100.003
23,0,33.324,91.639,99.997
24,0,32.659,91.226,99.997
25,0,32.558,91.19900000000001,99.99900000000001
26,0,32.372,91.148,99.999
27,0,32.168,91.116,99.999
28,0,31.976,91.072,99.994
29,0,31.738000000000003,91.033,99.99900000000001
30,0,31.291,90.919,100.0
31,0,30.699,90.76,99.998
32,0,30.259,90.65899999999999,100.002
33,0,29.983,90.58,100.0
34,0,29.758000000000006,90.515,100.001
35,0,29.55,90.465,99.998
36,0,29.268,90.125,99.996
37,0,29.074,90.128,100.003
38,0,28.901,90.146,99.999
39,0,28.738000000000003,90.192,99.999
40,0,28.592,90.21600000000001,99.998
41,0,28.473000000000006,90.20400000000001,100.00200000000001
42,0,28.385,90.146,99.998
43,0,28.353,90.09700000000001,100.00300000000001
44,0,28.348000000000006,90.07300000000001,99.99700000000001
45,0,28.342,90.08,100.0
46,0,28.343000000000004,90.11000000000001,100.00000000000001
47,0,28.36,90.179,99.999
48,0,28.384,90.262,100.0
49,0,27.878,90.192,99.999
50,0,27.978,90.129,99.99900000000001
51,0,28.099,89.905,100.0
52,0,28.154,89.707,99.999
53,0,28.207,89.462,100.024
54,0,28.237,89.254,100.0
55,0,28.257,89.027,99.999
56,0,28.266,88.78200000000001,100.00000000000001
57,0,28.267,88.543,99.99900000000001
58,0,28.38,88.346,100.0
