,MEX_st,MEX_young,MEX_working,MEX_elderly
0,0,46.06800000000001,96.78200000000001,100.00000000000001
1,0,46.34,96.753,99.999
2,0,46.587,96.718,99.99900000000001
3,0,46.81100000000001,96.68200000000002,100.00000000000001
4,0,47.003,96.64100000000002,100.00000000000001
5,0,47.17100000000001,96.595,100.0
6,0,47.31100000000001,96.55200000000002,99.99900000000002
7,0,47.40600000000001,96.51100000000001,100.00000000000001
8,0,47.464,96.475,99.999
9,0,47.492,96.44800000000001,100.00000000000001
10,0,47.472,96.41500000000002,99.99900000000002
11,0,47.412,96.38499999999999,99.99999999999999
12,0,47.317,96.36,99.999
13,0,47.181,96.341,100.0
14,0,46.995,96.31899999999999,99.999
15,0,46.76,96.298,100.0
16,0,46.474,96.27699999999999,99.99899999999998
17,0,46.14100000000001,96.26000000000002,100.00000000000001
18,0,45.76600000000001,96.24100000000001,99.99900000000001
19,0,45.359,96.223,99.999
20,0,44.927,96.20800000000001,99.99900000000001
21,0,44.472,96.193,100.0
22,0,43.99,96.172,100.0
23,0,43.481,96.146,99.999
24,0,42.945,96.11699999999999,99.999
25,0,42.386,96.08600000000001,100.00000000000001
26,0,41.804,96.049,100.0
27,0,41.203,96.004,100.0
28,0,40.596,95.95599999999999,99.999
29,0,39.991,95.907,100.0
30,0,39.392,95.85,99.999
31,0,38.803,95.788,99.999
32,0,38.235,95.72,99.999
33,0,37.695,95.648,100.0
34,0,37.173,95.572,99.999
35,0,36.668,95.494,100.0
36,0,36.177,95.411,100.0
37,0,35.69300000000001,95.32100000000001,99.99900000000001
38,0,35.203,95.22800000000001,99.99900000000001
39,0,34.714,95.12899999999999,99.999
40,0,34.246,95.019,100.0
41,0,33.772,94.901,99.999
42,0,33.287,94.78800000000001,99.99900000000001
43,0,32.806999999999995,94.67599999999999,99.999
44,0,32.339,94.559,99.999
45,0,31.882,94.441,100.0
46,0,31.418000000000006,94.32300000000001,99.99900000000001
47,0,30.947,94.208,99.999
48,0,30.477,94.099,100.0
49,0,30.013,93.991,99.999
50,0,29.568,93.88199999999999,99.999
51,0,29.139,93.76799999999999,99.99999999999999
52,0,28.728,93.644,99.99900000000001
53,0,28.333,93.512,99.999
54,0,27.951,93.374,99.999
55,0,27.583,93.235,99.999
56,0,27.222,93.089,99.999
57,0,26.864,92.928,99.999
58,0,26.507,92.75300000000001,99.99900000000001
